Artist,Song,Track ID,Album,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Taylor Swift,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),7qEUFOVcxRI19tbT68JcYK,Red (Taylor's Version),2021-11-12,70,0.498,0.61,-5.098,0.0363,0.271,0.0,0.223,0.474,79.918
Ed Sheeran,Lego House,5ubHAQtKuFfiG4FXfLP804,+,2011-09-09,70,0.592,0.637,-8.48,0.0992,0.562,0.0,0.13,0.565,159.701
Arrested Development,Mr. Wendal,5DOYik1z3Of1wAFfY3dYbC,"3 Years, 5 Months And 2 Days In The Life Of...",1992-03-24,50,0.884,0.37,-11.353,0.112,0.0188,0.00423,0.026,0.883,109.997
Miguel,Sure Thing,0JXXNGljqupsJaZsgSbMZV,All I Want Is You,2010-11-26,85,0.684,0.607,-8.127,0.1,0.0267,0.000307,0.191,0.498,81.001
Lady Gaga,Die With A Smile,2plbrEY59IikOBgBGLjaoe,Die With A Smile,2024-08-16,100,0.521,0.592,-7.777,0.0304,0.308,0.0,0.122,0.535,157.969
Blackalicious,Alphabet Aerobics,4z5L0qDduw3w1apQ4Qa6KV,A2G EP,1999-04-30,47,0.65,0.515,-8.722,0.198,0.0196,0.0,0.0974,0.885,97.052
Megan Moroney,Am I Okay?,36wAwEkSDpNQ4oQeRLYC3L,Am I Okay?,2024-07-12,76,0.593,0.734,-5.416,0.0514,0.02,0.0,0.138,0.518,125.937
Tears For Fears,Head Over Heels,748yv6bb3l3CcKS45a6SZ8,Rule The World: The Greatest Hits,2017-11-10,66,0.602,0.839,-4.251,0.0255,0.502,0.00118,0.095,0.653,95.16
T.I.,Bring Em Out,7oAZVxmRCVFanxK7tk16vv,Urban Legend,2004-11-28,51,0.764,0.875,-4.27,0.273,0.0432,0.0,0.236,0.573,98.565
Chappell Roan,Pink Pony Club,1k2pQc5i348DCHwbn5KTdc,The Rise and Fall of a Midwest Princess,2023-09-22,87,0.61,0.65,-6.199,0.0474,0.399,0.0,0.11,0.507,106.719
